threads,nAll,PI,time

1,2100000000,3.1415906933333333,213.073905163

2,2100000000,3.141601940952381,111.334621568
2,2000000000,3.1416095,118.350187782
2,1000000000,3.141582264,55.596861891
2,500000000,3.141479376,25.963990733000003
2,100000000,3.1417206,5.676330742
2,50000000,3.14171208,3.253795455
2,10000000,3.1422576,0.782718044
2,5000000,3.1414072,0.473831288
2,1000000,3.138132,0.094008848
2,500000,3.141808,0.11909622800000001
2,100000,3.14448,0.053694932
2,50000,3.12576,0.017855645
2,10000,3.1204,0.011741217
2,5000,3.1576,0.005595233000000001
2,1000,3.14,0.0036355450000000004
2,500,3.08,0.005392366
2,100,3.2,0.00428103
2,50,2.88,0.003573586
2,10,3.6,0.004130497
4,2100000000,3.1416143714285716,80.51801841300001
4,2000000000,3.14156821,69.386357856
4,1750000000,3.141604128,61.928890272000004
4,1500000000,3.1415578186666666,52.747358964
4,1250000000,3.1415259616,44.765357931000004
4,1000000000,3.141632972,32.958661418000005
4,500000000,3.1416352,18.143898571
4,100000000,3.14138372,4.157195027
4,50000000,3.14178088,2.6469908970000002
4,10000000,3.1417732,0.711575505
4,5000000,3.1416456,0.406991718
4,1000000,3.1411,0.119314945
4,500000,3.139992,0.11657212800000001
4,100000,3.13708,0.062588213
4,50000,3.14584,0.031925933000000004
4,10000,3.156,0.008893078
4,5000,3.1144,0.008348874000000001
4,1000,3.196,0.003921109
4,500,3.192,0.004213925
4,100,3.24,0.003830149
4,50,3.36,0.004265615
4,10,2.0,0.011309494000000002
